aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6214390,NY,330215,2025,0,0,1,0,0
6214410,NY,330182,2025,1,1,1,0,1
6214520,NY,330222,2025,1,1,1,0,1
6214616,NY,330401,2025,1,1,1,0,1
6214735,NY,330160,2024,1,0,1,0,0
6214775,NY,330393,2025,1,0,1,0,1
6214870,NY,330140,2024,0,1,1,0,1
6214885,NY,330241,2025,1,1,1,0,1
6214890,NY,330203,2025,0,0,1,0,1
6214990,NY,330180,2024,0,1,1,1,0
6215150,NY,330234,2025,1,0,1,0,0
6215165,NY,331312,2025,1,0,0,0,1
6215170,NY,330008,2024,1,1,1,0,0
6215210,NY,330157,2023,1,0,1,0,0
6215260,NY,330096,2024,0,0,0,0,0
6215280,NY,330166,2025,1,1,1,1,0
6215295,NY,330286,2025,1,1,1,0,1
6215330,NY,330304,2025,1,1,1,0,1
6215460,NY,330006,2025,1,0,1,0,0
6220001,NJ,310027,2025,1,1,1,1,0
6220040,NJ,310064,2025,1,0,1,0,1
6220105,NJ,310050,2025,0,0,1,0,1
6220125,NJ,310032,2025,1,0,1,0,1
6220190,NJ,310014,2022,1,1,1,0,1
6220217,NJ,310011,2024,1,0,1,0,0
6220240,NJ,310083,2025,1,0,1,1,0
6220247,NJ,310108,2025,1,1,1,0,1
6220275,NJ,310069,2023,1,0,1,1,0
6220280,NJ,310045,2024,1,1,1,0,1
6220295,NJ,310005,2024,1,0,1,1,0
6220322,NJ,310111,2025,1,1,1,0,1
6220340,NJ,310001,2025,1,1,1,0,1
6220365,NJ,310115,2025,1,0,1,0,1
6220395,NJ,310112,2025,1,1,1,0,1
6220425,NJ,310003,2025,1,1,1,0,1
6220435,NJ,310074,2025,1,1,1,1,0
6220457,NJ,310069,2025,1,0,1,0,1
6220540,NJ,310084,2025,1,1,1,1,0
6220560,NJ,310075,2025,1,1,1,1,0
6220585,NJ,310113,2025,1,1,1,0,1
6220650,NJ,310054,2025,1,1,1,1,0
6220680,NJ,310015,2025,1,0,1,0,1
6220740,NJ,310073,2025,1,1,1,0,1
6220758,NJ,310009,2025,1,1,1,1,0
6220800,NJ,310076,2025,1,1,1,1,0
6220820,NJ,310002,2025,1,1,1,1,0
6220890,NJ,310096,2025,0,0,1,0,1
6220920,NJ,310038,2025,1,1,1,1,0
6220950,NJ,310070,2025,0,0,1,0,0
6220990,NJ,310028,2025,1,0,1,0,1
6221070,NJ,310006,2025,0,0,1,0,1
6221120,NJ,310019,2025,1,0,1,0,1
6221140,NJ,312025,2025,1,1,1,0,1
6221145,NJ,310060,2023,1,1,0,0,1
6221170,NJ,310052,2025,1,1,1,0,1
6221175,NJ,310017,2025,1,0,1,0,1
6221190,NJ,310010,2025,1,1,1,1,0
6221210,NJ,310024,2025,1,1,1,1,0
6221220,NJ,310034,2025,1,1,1,0,1
6221235,NJ,310012,2025,1,1,1,1,0
